,Model,BLEU,ROUGE,BERTScore F1,Avg. Levenshtein,METEOR,CIDEr,Avg. CLIP Logits
0,BLIP Base,0.0,0.12953131437101992,0.8314244151115417,99.032,0.07409039076770353,0.0283613746907342,23.352609634399414
1,BLIP Fine-tuned,0.029762342665750632,0.19355394248821906,0.8587872385978699,94.496,0.17190936897690273,0.3147401795912754,25.839006423950195
2,GIT Base,0.0,0.10306075301954873,0.831838846206665,100.74,0.059931826324370795,0.02208585987285886,24.227317810058594
3,GIT Fine-tuned,0.003863721661089574,0.13013510797965544,0.8465403914451599,91.657,0.08927323377048495,0.05665661261245232,13.080656051635742
